Classe,dove
3EA,P. _ A. _
3MA,P. _ A. _
3MB,P. _ A. _
4MB,P. _ A. _
5MB,P. _ A. _
2MA,P. _ A. _
2MB,P. _ A. _
4MA,P. _ A. _
5MA,P. _ A. _
3GA,P. _ A. _
4GA,P. _ A. _
4GB,P. _ A. _
5GA,P. _ A. _
5GB,P. _ A. _
3MC,P. _ A. _
3IB,P. _ A. _
3IC,P. _ A. _
4IB,P. _ A. _
4IC,P. _ A. _
4ID,P. _ A. _
5IC,P. _ A. _
2ITD,P. _ A. _
2ITE,P. _ A. _
3TA,P. _ A. _
1SD,P. _ A. _
1TrED,P. _ A. _
2SD,P. _ A. _
2TrED,P. _ A. _
3SD,P. _ A. _
3TrED,P. _ A. _
4SD,P. _ A. _
4TrED,P. _ A. _
3TB,P. _ A. _
4TA,P. _ A. _
5TA,P. _ A. _
1SA,P. _ A. _
1SE,P. _ A. _
2SA,P. _ A. _
2SE,P. _ A. _
1ITB,P. _ A. _
1ITC,P. _ A. _
1MB,P. _ A. _
2ITB,P. _ A. _
2ITC,P. _ A. _
2ITF,P. _ A. _
3SA,P. _ A. _
3SE,P. _ A. _
4SA,P. _ A. _
5SA,P. _ A. _
5SE,P. _ A. _
3SC,P. _ A. _
3SF,P. _ A. _
4SC,P. _ A. _
5SC,P. _ A. _
5SF,P. _ A. _
2MD,P. _ A. _
4SF,P. _ A. _
4IA,P. _ A. _
1GA,P. _ A. _
1ITA,P. _ A. _
1ITD,P. _ A. _
1ITE,P. _ A. _
1MA,P. _ A. _
1MC,P. _ A. _
2ITA,P. _ A. _
2MC,P. _ A. _
2SC,P. _ A. _
4EA,P. _ A. _
5SD,P. _ A. _
5MC,P. _ A. _
4MC,P. _ A. _
5IB,P. _ A. _
4SB,P. _ A. _
5SB,P. _ A. _
2SF,P. _ A. _
3GB,P. _ A. _
3SB,P. _ A. _
4SE,P. _ A. _
1SB,P. _ A. _
1SC,P. _ A. _
2SB,P. _ A. _
1SF,P. _ A. _
3IA,P. _ A. _
5IA,P. _ A. _
