label,classe_re,from,to,ora
55m,[345][GI][A-Z],7:55,8:50,1
55m,[345][GI][A-Z],8:51,9:45,2
55m,[345][GI][A-Z],9:46,10:40,3
55m,[345][GI][A-Z],10:41,11:35,4
55m,[345][GI][A-Z],11:36,12:30,5
55m,[345][GI][A-Z],12:31,13:25,6
55m,[345][GI][A-Z],13:26,14:20,7
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),8:00,8:45,1
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),8:45,9:30,2
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),9:30,10:15,3
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),10:15,11:00,4
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),11:00,11:45,5
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),11:45,12:30,6
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),12:30,13:15,7
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),14:30,15:15,1
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),15:15,16:00,2
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),16:00,16:45,3
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),16:45,17:30,4
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),17:30,18:15,5
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),18:15,19:00,6
45m,(?:[1-5]S[A-Z]|[1-4]TrED|[12](?:G|IT|M)[A-Z]|[345][EMT][A-Z]),19:00,19:45,7
